run_name,target_x,target_y,target_z,target_yaw,time_s,phase,x,y,z,yaw,pos_error_norm,yaw_error_abs,vx_cmd,vy_cmd,vz_cmd,yaw_rate_cmd
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.019,settling,0.0,0.0,0.9758768135013062,0.0,3.4780849147370776,0.0,0.7071067811865476,0.7071067811865476,1.0,0.0
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.039,settling,-7.371440574797563e-05,-7.36920189465296e-05,0.9438766090040709,-0.001092266782227069,3.4968890510800748,0.001092266782227069,0.7063340208029805,0.7078786979817195,1.0,0.0013107201386724828
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.059000000000000004,settling,0.0002434010545166643,0.0002497163484625887,0.9394362551372788,-0.0005860423185299974,3.4991356930866644,0.0005860423185299974,0.7066952473845396,0.7075180756165206,1.0,0.0007032507822359968
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.079,settling,0.0017415429214321918,0.0017536874082768714,0.9609910676201111,-0.0008930470921726722,3.48476435550489,0.0008930470921726722,0.7064789278484538,0.7077340775362587,1.0,0.0010716565106072065
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.099,settling,0.004891964013719514,0.004908601167453304,1.0011102479398442,-0.0007537237957262381,3.457803638994521,0.0007537237957262381,0.7065777541097218,0.7076354127637068,1.0,0.0009044685548714857
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.11900000000000001,settling,0.010045961863031872,0.010064964263485299,1.0538711043193092,-0.0008820873176991409,3.42157510497032,0.0008820873176991409,0.7064872407880379,0.7077257792420061,1.0,0.001058504781238969
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.139,settling,0.01750948491090406,0.017528260180641523,1.1151487689272916,-0.000900460660900629,3.3783319855924354,0.000900460660900629,0.7064731874582669,0.7077398076995222,1.0,0.0010805527930807547
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.159,settling,0.02756524969258882,0.027581863938628933,1.182141155267751,-0.0010016948175896809,3.3294958968371384,0.0010016948175896809,0.7064015428091384,0.7078113168895148,1.0,0.001202033781107617
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.179,settling,0.04042499077483237,0.040440690361141465,1.2529588054383258,-0.0010466239729277102,3.2759670084217296,0.0010466239729277102,0.706369658116023,0.7078431366433193,1.0,0.0012559487675132522
rl_neural_demo_target,2.0,2.0,3.0,0.0,0.199,settling,0.056243854720365784,0.0562600096495322,1.3263325686493885,-0.001089954254680688,3.2183032444385553,0.001089954254680688,0.7063398384670392,0.7078728929648013,1.0,0.0013079451056168254
